"Fecha","REGION","CASOS"
"18/03/2020","APU",0
"19/03/2020","APU",0
"20/03/2020","APU",0
"21/03/2020","APU",0
"22/03/2020","APU",0
"23/03/2020","APU",0
"24/03/2020","APU",0
"25/03/2020","APU",0
"26/03/2020","APU",0
"27/03/2020","APU",0
"28/03/2020","APU",0
"29/03/2020","APU",0
"30/03/2020","APU",0
"31/03/2020","APU",0
"01/04/2020","APU",1
"02/04/2020","APU",0
"03/04/2020","APU",0
"04/04/2020","APU",0
"05/04/2020","APU",0
"06/04/2020","APU",0
"07/04/2020","APU",0
"08/04/2020","APU",0
"09/04/2020","APU",2
"10/04/2020","APU",0
"11/04/2020","APU",2
"TOTALES","APU",5
"06/03/2020","MOQ",0
"07/03/2020","MOQ",0
"08/03/2020","MOQ",0
"09/03/2020","MOQ",0
"10/03/2020","MOQ",0
"11/03/2020","MOQ",0
"12/03/2020","MOQ",0
"13/03/2020","MOQ",0
"14/03/2020","MOQ",0
"15/03/2020","MOQ",0
"16/03/2020","MOQ",0
"17/03/2020","MOQ",0
"18/03/2020","MOQ",0
"19/03/2020","MOQ",0
"20/03/2020","MOQ",0
"21/03/2020","MOQ",0
"22/03/2020","MOQ",0
"23/03/2020","MOQ",0
"24/03/2020","MOQ",0
"25/03/2020","MOQ",0
"26/03/2020","MOQ",0
"27/03/2020","MOQ",0
"28/03/2020","MOQ",0
"29/03/2020","MOQ",0
"30/03/2020","MOQ",0
"31/03/2020","MOQ",0
"01/04/2020","MOQ",0
"02/04/2020","MOQ",0
"03/04/2020","MOQ",0
"04/04/2020","MOQ",1
"05/04/2020","MOQ",0
"06/04/2020","MOQ",0
"07/04/2020","MOQ",2
"08/04/2020","MOQ",0
"09/04/2020","MOQ",0
"10/04/2020","MOQ",5
"11/04/2020","MOQ",2
"TOTALES","MOQ",12
"06/03/2020","PUN",0
"07/03/2020","PUN",0
"08/03/2020","PUN",0
"09/03/2020","PUN",0
"10/03/2020","PUN",0
"11/03/2020","PUN",0
"12/03/2020","PUN",0
"13/03/2020","PUN",0
"14/03/2020","PUN",0
"15/03/2020","PUN",0
"16/03/2020","PUN",0
"17/03/2020","PUN",0
"18/03/2020","PUN",0
"19/03/2020","PUN",0
"20/03/2020","PUN",0
"21/03/2020","PUN",0
"22/03/2020","PUN",0
"23/03/2020","PUN",0
"24/03/2020","PUN",0
"25/03/2020","PUN",0
"26/03/2020","PUN",0
"27/03/2020","PUN",0
"28/03/2020","PUN",0
"29/03/2020","PUN",0
"30/03/2020","PUN",0
"31/03/2020","PUN",0
"01/04/2020","PUN",0
"02/04/2020","PUN",0
"03/04/2020","PUN",0
"04/04/2020","PUN",0
"05/04/2020","PUN",0
"06/04/2020","PUN",1
"07/04/2020","PUN",0
"08/04/2020","PUN",0
"09/04/2020","PUN",0
"10/04/2020","PUN",0
"11/04/2020","PUN",1
"TOTALES","PUN",2
"06/03/2020","AMA",0
"07/03/2020","AMA",0
"08/03/2020","AMA",0
"09/03/2020","AMA",0
"10/03/2020","AMA",0
"11/03/2020","AMA",0
"12/03/2020","AMA",0
"13/03/2020","AMA",0
"14/03/2020","AMA",0
"15/03/2020","AMA",0
"16/03/2020","AMA",0
"17/03/2020","AMA",0
"18/03/2020","AMA",0
"19/03/2020","AMA",0
"20/03/2020","AMA",0
"21/03/2020","AMA",0
"22/03/2020","AMA",0
"23/03/2020","AMA",0
"24/03/2020","AMA",0
"25/03/2020","AMA",0
"26/03/2020","AMA",0
"27/03/2020","AMA",0
"28/03/2020","AMA",0
"29/03/2020","AMA",0
"30/03/2020","AMA",0
"31/03/2020","AMA",0
"01/04/2020","AMA",0
"02/04/2020","AMA",0
"03/04/2020","AMA",0
"04/04/2020","AMA",0
"05/04/2020","AMA",0
"06/04/2020","AMA",0
"07/04/2020","AMA",10
"08/04/2020","AMA",0
"09/04/2020","AMA",6
"10/04/2020","AMA",3
"11/04/2020","AMA",0
"TOTALES","AMA",25
"06/03/2020","UCA",0
"07/03/2020","UCA",0
"08/03/2020","UCA",0
"09/03/2020","UCA",0
"10/03/2020","UCA",0
"11/03/2020","UCA",0
"12/03/2020","UCA",0
"13/03/2020","UCA",0
"14/03/2020","UCA",0
"15/03/2020","UCA",0
"16/03/2020","UCA",0
"17/03/2020","UCA",0
"18/03/2020","UCA",0
"19/03/2020","UCA",0
"20/03/2020","UCA",0
"21/03/2020","UCA",0
"22/03/2020","UCA",0
"23/03/2020","UCA",0
"24/03/2020","UCA",0
"25/03/2020","UCA",0
"26/03/2020","UCA",0
"27/03/2020","UCA",0
"28/03/2020","UCA",0
"29/03/2020","UCA",0
"30/03/2020","UCA",0
"31/03/2020","UCA",0
"01/04/2020","UCA",0
"02/04/2020","UCA",0
"03/04/2020","UCA",0
"04/04/2020","UCA",0
"05/04/2020","UCA",0
"06/04/2020","UCA",0
"07/04/2020","UCA",0
"08/04/2020","UCA",0
"09/04/2020","UCA",12
"10/04/2020","UCA",2
"11/04/2020","UCA",1
"TOTALES","UCA",17
