"","Fecha","REGION","CASOS"
"593","28/03/2020","CAJ",0
"594","29/03/2020","CAJ",0
"595","30/03/2020","CAJ",0
"596","31/03/2020","CAJ",1
"597","01/04/2020","CAJ",1
"598","02/04/2020","CAJ",1
"599","03/04/2020","CAJ",2
"600","04/04/2020","CAJ",0
"601","05/04/2020","CAJ",0
"602","06/04/2020","CAJ",0
"603","07/04/2020","CAJ",5
"604","08/04/2020","CAJ",0
"605","09/04/2020","CAJ",0
"606","10/04/2020","CAJ",0
"607","11/04/2020","CAJ",0
"608","TOTALES","CAJ",11
"609","06/03/2020","PAS",0
"610","07/03/2020","PAS",0
"611","08/03/2020","PAS",0
"612","09/03/2020","PAS",0
"613","10/03/2020","PAS",0
"614","11/03/2020","PAS",0
"615","12/03/2020","PAS",0
"616","13/03/2020","PAS",0
"617","14/03/2020","PAS",0
"618","15/03/2020","PAS",0
"619","16/03/2020","PAS",0
"620","17/03/2020","PAS",0
"621","18/03/2020","PAS",0
"622","19/03/2020","PAS",0
"623","20/03/2020","PAS",0
"624","21/03/2020","PAS",0
"625","22/03/2020","PAS",0
"626","23/03/2020","PAS",0
"627","24/03/2020","PAS",0
"628","25/03/2020","PAS",0
"629","26/03/2020","PAS",1
"630","27/03/2020","PAS",0
"631","28/03/2020","PAS",0
"632","29/03/2020","PAS",0
"633","30/03/2020","PAS",0
"634","31/03/2020","PAS",0
"635","01/04/2020","PAS",0
"636","02/04/2020","PAS",0
"637","03/04/2020","PAS",1
"638","04/04/2020","PAS",1
"639","05/04/2020","PAS",2
"640","06/04/2020","PAS",0
"641","07/04/2020","PAS",0
"642","08/04/2020","PAS",0
"643","09/04/2020","PAS",3
"644","10/04/2020","PAS",1
"645","11/04/2020","PAS",2
"646","TOTALES","PAS",11
"647","06/03/2020","TAC",0
"648","07/03/2020","TAC",0
"649","08/03/2020","TAC",0
"650","09/03/2020","TAC",0
"651","10/03/2020","TAC",0
"652","11/03/2020","TAC",0
"653","12/03/2020","TAC",0
"654","13/03/2020","TAC",0
"655","14/03/2020","TAC",0
"656","15/03/2020","TAC",0
"657","16/03/2020","TAC",0
"658","17/03/2020","TAC",0
"659","18/03/2020","TAC",0
"660","19/03/2020","TAC",0
"661","20/03/2020","TAC",0
"662","21/03/2020","TAC",0
"663","22/03/2020","TAC",0
"664","23/03/2020","TAC",0
"665","24/03/2020","TAC",0
"666","25/03/2020","TAC",0
"667","26/03/2020","TAC",0
"668","27/03/2020","TAC",0
"669","28/03/2020","TAC",1
"670","29/03/2020","TAC",0
"671","30/03/2020","TAC",1
"672","31/03/2020","TAC",1
"673","01/04/2020","TAC",0
"674","02/04/2020","TAC",0
"675","03/04/2020","TAC",0
"676","04/04/2020","TAC",6
"677","05/04/2020","TAC",0
"678","06/04/2020","TAC",0
"679","07/04/2020","TAC",0
"680","08/04/2020","TAC",0
"681","09/04/2020","TAC",0
"682","10/04/2020","TAC",0
"683","11/04/2020","TAC",0
"684","TOTALES","TAC",9
"685","06/03/2020","AYA",0
"686","07/03/2020","AYA",0
"687","08/03/2020","AYA",0
"688","09/03/2020","AYA",0
"689","10/03/2020","AYA",0
"690","11/03/2020","AYA",0
