"","Fecha","REGION","CASOS"
"763","28-MAR","APU",0
"764","29-MAR","APU",0
"765","30-MAR","APU",0
"766","31-MAR","APU",0
"767","1-ABR","APU",1
"768","2-ABR","APU",0
"769","3-ABR","APU",0
"770","4-ABR","APU",0
"771","5 ABRIL","APU",0
"772","6-ABR","APU",0
"773","7-ABR","APU",0
"774","8-ABR","APU",0
"775","9-ABR","APU",2
"776","10-ABR","APU",0
"777","11-ABR","APU",1
"778","6-MAR","MOQ",0
"779","7-MAR","MOQ",0
"780","8-MAR","MOQ",0
"781","9-MAR","MOQ",0
"782","10-MAR","MOQ",0
"783","11-MAR","MOQ",0
"784","12-MAR","MOQ",0
"785","13-MAR","MOQ",0
"786","14-MAR","MOQ",0
"787","15-MAR","MOQ",0
"788","16-MAR","MOQ",0
"789","17-MAR","MOQ",0
"790","18-MAR","MOQ",0
"791","19-MAR","MOQ",0
"792","20-MAR","MOQ",0
"793","21-MAR","MOQ",0
"794","22-MAR","MOQ",0
"795","23-MAR","MOQ",0
"796","24-MAR","MOQ",0
"797","25-MAR","MOQ",0
"798","26-MAR","MOQ",0
"799","27-MAR","MOQ",0
"800","28-MAR","MOQ",0
"801","29-MAR","MOQ",0
"802","30-MAR","MOQ",0
"803","31-MAR","MOQ",0
"804","1-ABR","MOQ",0
"805","2-ABR","MOQ",0
"806","3-ABR","MOQ",0
"807","4-ABR","MOQ",1
"808","5 ABRIL","MOQ",0
"809","6-ABR","MOQ",0
"810","7-ABR","MOQ",2
"811","8-ABR","MOQ",0
"812","9-ABR","MOQ",0
"813","10-ABR","MOQ",5
"814","11-ABR","MOQ",2
"815","6-MAR","PUN",0
"816","7-MAR","PUN",0
"817","8-MAR","PUN",0
"818","9-MAR","PUN",0
"819","10-MAR","PUN",0
"820","11-MAR","PUN",0
"821","12-MAR","PUN",0
"822","13-MAR","PUN",0
"823","14-MAR","PUN",0
"824","15-MAR","PUN",0
"825","16-MAR","PUN",0
"826","17-MAR","PUN",0
"827","18-MAR","PUN",0
"828","19-MAR","PUN",0
"829","20-MAR","PUN",0
"830","21-MAR","PUN",0
"831","22-MAR","PUN",0
"832","23-MAR","PUN",0
"833","24-MAR","PUN",0
"834","25-MAR","PUN",0
"835","26-MAR","PUN",0
"836","27-MAR","PUN",0
"837","28-MAR","PUN",0
"838","29-MAR","PUN",0
"839","30-MAR","PUN",0
"840","31-MAR","PUN",0
"841","1-ABR","PUN",0
"842","2-ABR","PUN",0
"843","3-ABR","PUN",0
"844","4-ABR","PUN",0
"845","5 ABRIL","PUN",0
"846","6-ABR","PUN",1
"847","7-ABR","PUN",0
"848","8-ABR","PUN",0
"849","9-ABR","PUN",0
"850","10-ABR","PUN",0
"851","11-ABR","PUN",1
"852","6-MAR","AMA",0
"853","7-MAR","AMA",0
"854","8-MAR","AMA",0
"855","9-MAR","AMA",0
"856","10-MAR","AMA",0
"857","11-MAR","AMA",0
"858","12-MAR","AMA",0
"859","13-MAR","AMA",0
"860","14-MAR","AMA",0
"861","15-MAR","AMA",0
"862","16-MAR","AMA",0
"863","17-MAR","AMA",0
"864","18-MAR","AMA",0
"865","19-MAR","AMA",0
